Model	scenario	demo	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
SC_b	SC	B	Round_2_Replicate_12	-467.1584	948.3168	61.0736	82.5786	17.5421,31.9668,0.1403,9.2864,1.1594,2.797,0.748
SC_b	SC	B	Round_4_Replicate_12	-467.1586	948.3172	61.1048	81.4973	17.8218,32.3994,0.1394,9.4292,1.17,2.7606,0.7393
SC_b	SC	B	Round_4_Replicate_8	-467.1588	948.3176	61.1662	82.1931	17.6469,32.2172,0.1402,9.3408,1.1603,2.7897,0.7444
SC_b	SC	B	Round_4_Replicate_16	-467.1588	948.3176	61.1186	82.67	17.5376,31.9613,0.1404,9.2734,1.1534,2.805,0.7496
SC_b	SC	B	Round_4_Replicate_18	-467.1588	948.3176	61.0492	83.3844	17.39,31.6597,0.1394,9.2104,1.1456,2.8258,0.7572
IM_ae_b	IM	AEB	Round_4_Replicate_20	-466.74	949.48	59.4662	87.5758	14.9247,23.1923,26.9901,0.0082,5.357,0.8884,1.0153,3.0043
IM_ae_b	IM	AEB	Round_4_Replicate_4	-466.7434	949.4868	59.3974	95.3962	13.5653,21.655,25.6394,0.0071,4.8372,0.7925,1.0323,3.3946
SC_ae	SC	AE	Round_3_Replicate_13	-466.7448	949.4896	57.3513	58.5375	16.9097,20.7029,27.6554,8.8533,1.0941,0.1392,5.7736,1.2368
SC_ae	SC	AE	Round_4_Replicate_19	-466.7509	949.5018	57.4333	59.1026	16.7275,20.2875,27.329,8.7265,1.0954,0.1418,5.7709,1.2058
IM_ae_b	IM	AEB	Round_4_Replicate_18	-466.7591	949.5182	59.4604	115.2869	11.4881,17.6706,20.9432,0.0083,3.7924,0.6555,1.3105,4.0049
SC_ae	SC	AE	Round_4_Replicate_18	-466.7617	949.5234	57.4912	58.2943	17.0404,20.7098,27.9555,8.8895,1.0743,0.1571,5.2221,1.0751
SC_ae	SC	AE	Round_4_Replicate_12	-466.7652	949.5304	57.3807	67.2629	14.7419,17.9074,24.1497,7.5538,0.9585,0.1163,6.922,1.4355
SC_ae	SC	AE	Round_4_Replicate_1	-466.7704	949.5408	57.606	65.962	15.0273,18.6668,24.2247,7.7186,0.9714,0.1249,6.3636,1.478
SC_ae	SC	AE	Round_3_Replicate_14	-466.7917	949.5834	57.3281	75.6203	13.2023,15.8656,21.7843,6.612,0.8417,0.0968,8.2145,1.6207
SC_ae	SC	AE	Round_4_Replicate_10	-466.7932	949.5864	57.5	73.7788	13.4928,16.8683,21.6276,6.7986,0.854,0.1174,6.7756,1.5336
